exmp_name,sex,lab,strain,value,eslim_id,parameter_name
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.007958478,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.01344697,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.007798507,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.013786765,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.014131274,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.008394161,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.026774194,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.007283465,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.00902439,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.006925926,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.012695035,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.016569343,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.016346863,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.011469388,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.009746835,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.008599349,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.012820513,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.014334601,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.0114377,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.015159011,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.013230769,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.015485075,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.007793103,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.016458333,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.007915194,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.007060932,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.014041096,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.013006536,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.006042553,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.012423077,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.014096386,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.012607143,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.006694561,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.008797251,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.009702602,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.012483221,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.014083045,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.008368794,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.016357616,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.017433333,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.015654952,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.01737931,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.015808824,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.012064057,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.017,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.011764706,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.006694215,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.0128,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.014221453,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.014462151,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.006677419,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.007577855,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.013415493,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.013854167,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.012313167,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.008435115,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.016923077,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.012923077,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.013828996,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.013686131,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.007535714,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.0083391,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.015189394,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.015754386,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.012737226,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.015141956,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.009114391,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.009541985,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.007389163,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.006981132,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.008691983,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.006654135,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.007035573,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.007159533,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.007363014,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.008333333,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.013552632,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.007785467,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.006493506,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.007570423,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.012596899,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.013757764,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.01281746,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.00833935,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.00719697,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.007909091,ESLIM_005_001_701,BMC/Body weight
